Trading Date,Interval Number,Trading Interval,Estimated DPV Generation (MW),Extracted At,,,
2021/1/1,1,2021/1/1 8:00,586.7615,2022/8/3 20:56,0.376829925,,1557.099
2021/1/1,2,2021/1/1 8:30,707.0705,,0.454094762,,0
2021/1/1,3,2021/1/1 9:00,817.3471,,0.524916592,,
2021/1/1,4,2021/1/1 9:30,914.5576,,0.587347112,,
2021/1/1,5,2021/1/1 10:00,999.802,,0.642092764,,
2021/1/1,6,2021/1/1 10:30,1069.977,,0.687160547,,
2021/1/1,7,2021/1/1 11:00,1113.936,,0.715391892,,
2021/1/1,8,2021/1/1 11:30,1144.158,,0.734801063,,
2021/1/1,9,2021/1/1 12:00,1169.108,,0.75082445,,
2021/1/1,10,2021/1/1 12:30,1091.249,,0.700821849,,
2021/1/1,11,2021/1/1 13:00,1064.388,,0.683571179,,
2021/1/1,12,2021/1/1 13:30,921.7469,,0.591964223,,
2021/1/1,13,2021/1/1 14:00,958.7236,,0.615711397,,
2021/1/1,14,2021/1/1 14:30,859.1036,,0.551733448,,
2021/1/1,15,2021/1/1 15:00,904.2668,,0.580738155,,
2021/1/1,16,2021/1/1 15:30,732.1447,,0.470197913,,
2021/1/1,17,2021/1/1 16:00,616.8516,,0.396154387,,
2021/1/1,18,2021/1/1 16:30,515.4554,,0.331035727,,
2021/1/1,19,2021/1/1 17:00,356.4793,,0.228938109,,
2021/1/1,20,2021/1/1 17:30,262.185,,0.168380431,,
2021/1/1,21,2021/1/1 18:00,97.11655,,0.062370183,,
2021/1/1,22,2021/1/1 18:30,0.2013385,,0.000129304,,
2021/1/1,23,2021/1/1 19:00,0,,0,,
2021/1/1,24,2021/1/1 19:30,0,,0,,
2021/1/1,25,2021/1/1 20:00,0,,0,,
2021/1/1,26,2021/1/1 20:30,0,,0,,
2021/1/1,27,2021/1/1 21:00,0,,0,,
2021/1/1,28,2021/1/1 21:30,0,,0,,
2021/1/1,29,2021/1/1 22:00,0,,0,,
2021/1/1,30,2021/1/1 22:30,0,,0,,
2021/1/1,31,2021/1/1 23:00,0,,0,,
2021/1/1,32,2021/1/1 23:30,0,,0,,
2021/1/1,33,2021/1/2 0:00,0,,0,,
2021/1/1,34,2021/1/2 0:30,0,,0,,
2021/1/1,35,2021/1/2 1:00,0,,0,,
2021/1/1,36,2021/1/2 1:30,0,,0,,
2021/1/1,37,2021/1/2 2:00,0,,0,,
2021/1/1,38,2021/1/2 2:30,0,,0,,
2021/1/1,39,2021/1/2 3:00,0,,0,,
2021/1/1,40,2021/1/2 3:30,0,,0,,
2021/1/1,41,2021/1/2 4:00,0,,0,,
2021/1/1,42,2021/1/2 4:30,0,,0,,
2021/1/1,43,2021/1/2 5:00,0,,0,,
2021/1/1,44,2021/1/2 5:30,0,,0,,
2021/1/1,45,2021/1/2 6:00,36.05241,,0.023153576,,
2021/1/1,46,2021/1/2 6:30,179.6995,,0.115406599,,
2021/1/1,47,2021/1/2 7:00,310.5641,,0.199450452,,
2021/1/1,48,2021/1/2 7:30,434.8974,,0.279299775,,
2021/1/2,1,2021/1/2 8:00,553.5862,,0.355524087,,
2021/1/2,2,2021/1/2 8:30,668.5382,,0.429348551,,
2021/1/2,3,2021/1/2 9:00,789.0557,,0.506747291,,
2021/1/2,4,2021/1/2 9:30,900.2838,,0.578180193,,
2021/1/2,5,2021/1/2 10:00,975.9552,,0.626777873,,
2021/1/2,6,2021/1/2 10:30,1047.483,,0.672714452,,
2021/1/2,7,2021/1/2 11:00,1109.764,,0.712712551,,
2021/1/2,8,2021/1/2 11:30,1063.258,,0.682845471,,
2021/1/2,9,2021/1/2 12:00,1091.706,,0.701115343,,
2021/1/2,10,2021/1/2 12:30,1147.296,,0.736816349,,
2021/1/2,11,2021/1/2 13:00,1103.835,,0.708904829,,
2021/1/2,12,2021/1/2 13:30,1078.143,,0.692404915,,
2021/1/2,13,2021/1/2 14:00,1018.5,,0.654100992,,
2021/1/2,14,2021/1/2 14:30,938.9523,,0.603013874,,
2021/1/2,15,2021/1/2 15:00,826.7006,,0.530923596,,
2021/1/2,16,2021/1/2 15:30,729.1688,,0.468286731,,
2021/1/2,17,2021/1/2 16:00,589.0175,,0.378278774,,
2021/1/2,18,2021/1/2 16:30,467.6464,,0.300331835,,
2021/1/2,19,2021/1/2 17:00,336.8848,,0.21635413,,
2021/1/2,20,2021/1/2 17:30,210.5656,,0.135229423,,
2021/1/2,21,2021/1/2 18:00,82.2243,,0.052806084,,
2021/1/2,22,2021/1/2 18:30,0.8893958,,0.000571188,,
2021/1/2,23,2021/1/2 19:00,0,,0,,
2021/1/2,24,2021/1/2 19:30,0,,0,,
2021/1/2,25,2021/1/2 20:00,0,,0,,
2021/1/2,26,2021/1/2 20:30,0,,0,,
2021/1/2,27,2021/1/2 21:00,0,,0,,
2021/1/2,28,2021/1/2 21:30,0,,0,,
2021/1/2,29,2021/1/2 22:00,0,,0,,
2021/1/2,30,2021/1/2 22:30,0,,0,,
2021/1/2,31,2021/1/2 23:00,0,,0,,
2021/1/2,32,2021/1/2 23:30,0,,0,,
2021/1/2,33,2021/1/3 0:00,0,,0,,
2021/1/2,34,2021/1/3 0:30,0,,0,,
2021/1/2,35,2021/1/3 1:00,0,,0,,
2021/1/2,36,2021/1/3 1:30,0,,0,,
2021/1/2,37,2021/1/3 2:00,0,,0,,
2021/1/2,38,2021/1/3 2:30,0,,0,,
2021/1/2,39,2021/1/3 3:00,0,,0,,
2021/1/2,40,2021/1/3 3:30,0,,0,,
2021/1/2,41,2021/1/3 4:00,0,,0,,
2021/1/2,42,2021/1/3 4:30,0,,0,,
2021/1/2,43,2021/1/3 5:00,0,,0,,
2021/1/2,44,2021/1/3 5:30,0,,0,,
2021/1/2,45,2021/1/3 6:00,21.0771,,0.013536134,,
2021/1/2,46,2021/1/3 6:30,114.7502,,0.073694865,,
2021/1/2,47,2021/1/3 7:00,228.8444,,0.146968433,,
2021/1/2,48,2021/1/3 7:30,348.2234,,0.223636005,,
2021/1/3,1,2021/1/3 8:00,495.319,,0.31810373,,
2021/1/3,2,2021/1/3 8:30,669.633,,0.430051654,,
2021/1/3,3,2021/1/3 9:00,755.3833,,0.485122205,,
2021/1/3,4,2021/1/3 9:30,806.5162,,0.517960772,,
2021/1/3,5,2021/1/3 10:00,867.3632,,0.557037928,,
