Trading Date,Interval Number,Trading Interval,Trading Suspended,Offer Quantity (MWh),Bid Quantity (MWh),Clearing Quantity (MWh),Clearing Price ($/MWh),Extracted At,,,
2021/1/1,1,2021/1/1 8:00,N,2532.365,681.397,33.502,26.45,2021/12/30 11:30,1.3225,,137.45
2021/1/1,2,2021/1/1 8:30,N,2527.544,643.671,21.501,19.82,,0.991,,
2021/1/1,3,2021/1/1 9:00,N,2522.373,615.878,22.631,19.82,,0.991,,
2021/1/1,4,2021/1/1 9:30,N,2515.27,621.122,23.923,19.82,,0.991,,
2021/1/1,5,2021/1/1 10:00,N,2512.05,646.656,25.077,19.82,,0.991,,
2021/1/1,6,2021/1/1 10:30,N,2508.999,657.037,25.977,19.82,,0.991,,
2021/1/1,7,2021/1/1 11:00,N,2506.927,641.272,26.026,17.74,,0.887,,
2021/1/1,8,2021/1/1 11:30,N,2509.146,652.422,26.576,12.31,,0.6155,,
2021/1/1,9,2021/1/1 12:00,N,2507.832,696.771,55.805,19.82,,0.991,,
2021/1/1,10,2021/1/1 12:30,N,2508.078,736.922,61.702,26.84,,1.342,,
2021/1/1,11,2021/1/1 13:00,N,2508.876,762.481,56.102,27.59,,1.3795,,
2021/1/1,12,2021/1/1 13:30,N,2508.82,801.18,67.902,26.84,,1.342,,
2021/1/1,13,2021/1/1 14:00,N,2509.185,851.412,52.615,31.14,,1.557,,
2021/1/1,14,2021/1/1 14:30,N,2509.24,898.377,63.518,29.8,,1.49,,
2021/1/1,15,2021/1/1 15:00,N,2509.597,959.195,97.499,37.51,,1.8755,,
2021/1/1,16,2021/1/1 15:30,N,2509.812,1045.298,79.903,39.96,,1.998,,
2021/1/1,17,2021/1/1 16:00,N,2510.215,1123.974,60.303,51.29,,2.5645,,
2021/1/1,18,2021/1/1 16:30,N,2515.567,1211.396,53.999,54.25,,2.7125,,
2021/1/1,19,2021/1/1 17:00,N,2529.768,1260.985,68.621,72.21,,3.6105,,
2021/1/1,20,2021/1/1 17:30,N,2550.538,1285.863,60.995,82.66,,4.133,,
2021/1/1,21,2021/1/1 18:00,N,2564.011,1302.981,47.491,83.3,,4.165,,
2021/1/1,22,2021/1/1 18:30,N,2568.907,1293.522,34.091,87.11,,4.3555,,
2021/1/1,23,2021/1/1 19:00,N,2561.49,1316.989,18.991,85.68,,4.284,,
2021/1/1,24,2021/1/1 19:30,N,2557.047,1352.932,17.073,88.72,,4.436,,
2021/1/1,25,2021/1/1 20:00,N,2552.929,1335.138,15.935,86.79,,4.3395,,
2021/1/1,26,2021/1/1 20:30,N,2553.418,1279.258,15.935,85.45,,4.2725,,
2021/1/1,27,2021/1/1 21:00,N,2537.479,1240.354,11.233,88.09,,4.4045,,
2021/1/1,28,2021/1/1 21:30,N,2534.837,1177.174,12.148,83.22,,4.161,,
2021/1/1,29,2021/1/1 22:00,N,2535.807,1077.027,19.533,44.98,,2.249,,
2021/1/1,30,2021/1/1 22:30,N,2545.811,990.98,67.235,39.53,,1.9765,,
2021/1/1,31,2021/1/1 23:00,N,2563.555,926.777,55.718,35,,1.75,,
2021/1/1,32,2021/1/1 23:30,N,2581.026,880.121,55.903,30.8,,1.54,,
2021/1/1,33,2021/1/2 0:00,N,2594.733,838.723,78.087,34.4,,1.72,,
2021/1/1,34,2021/1/2 0:30,N,2601.05,794.928,62.107,30.8,,1.54,,
2021/1/1,35,2021/1/2 1:00,N,2603.545,774.231,61.918,27.59,,1.3795,,
2021/1/1,36,2021/1/2 1:30,N,2606.757,780.714,57.618,27.74,,1.387,,
2021/1/1,37,2021/1/2 2:00,N,2607.967,776.586,51.418,28.49,,1.4245,,
2021/1/1,38,2021/1/2 2:30,N,2605.668,750.032,50.518,27.73,,1.3865,,
2021/1/1,39,2021/1/2 3:00,N,2599.82,716.711,51.218,27.59,,1.3795,,
2021/1/1,40,2021/1/2 3:30,N,2605.999,703.237,51.518,27.59,,1.3795,,
2021/1/1,41,2021/1/2 4:00,N,2607.963,699.939,54.018,27.51,,1.3755,,
2021/1/1,42,2021/1/2 4:30,N,2608.238,697.43,54.619,27.51,,1.3755,,
2021/1/1,43,2021/1/2 5:00,N,2604.115,689.532,83.302,26.45,,1.3225,,
2021/1/1,44,2021/1/2 5:30,N,2600.1,668.606,66.605,19.49,,0.9745,,
2021/1/1,45,2021/1/2 6:00,N,2590.193,655.811,60.21,-2.05,,-0.1025,,
2021/1/1,46,2021/1/2 6:30,N,2582.946,637.582,42.896,-2.05,,-0.1025,,
2021/1/1,47,2021/1/2 7:00,N,2576.358,615.66,43.02,-2.05,,-0.1025,,
2021/1/1,48,2021/1/2 7:30,N,2595.408,548.237,41.105,-2.05,,-0.1025,,
2021/1/2,1,2021/1/2 8:00,N,2494.45,612.525,10.285,10.96,,0.548,,
2021/1/2,2,2021/1/2 8:30,N,2467.108,620.023,10.285,10.96,,0.548,,
2021/1/2,3,2021/1/2 9:00,N,2443.378,614.042,15.285,10.24,,0.512,,
2021/1/2,4,2021/1/2 9:30,N,2476.765,556.673,32.976,3.3,,0.165,,
2021/1/2,5,2021/1/2 10:00,N,2463.985,564.007,34.11,3.3,,0.165,,
2021/1/2,6,2021/1/2 10:30,N,2457.257,565.037,34.64,3.3,,0.165,,
2021/1/2,7,2021/1/2 11:00,N,2468.487,569.887,35.29,3.3,,0.165,,
2021/1/2,8,2021/1/2 11:30,N,2491.6,570.487,36.09,9.75,,0.4875,,
2021/1/2,9,2021/1/2 12:00,N,2512.291,566.297,35.6,3.3,,0.165,,
2021/1/2,10,2021/1/2 12:30,N,2543.918,566.137,36.14,3.3,,0.165,,
2021/1/2,11,2021/1/2 13:00,N,2572.528,571.306,40.709,3.3,,0.165,,
2021/1/2,12,2021/1/2 13:30,N,2565.973,616.63,71.43,10.23,,0.5115,,
2021/1/2,13,2021/1/2 14:00,N,2559.508,681.52,83.786,26.84,,1.342,,
2021/1/2,14,2021/1/2 14:30,N,2553.715,749.86,91.845,30.25,,1.5125,,
2021/1/2,15,2021/1/2 15:00,N,2550.047,812.768,66.165,35,,1.75,,
2021/1/2,16,2021/1/2 15:30,N,2548.338,888.028,53.003,45.15,,2.2575,,
2021/1/2,17,2021/1/2 16:00,N,2542.109,972.292,24.703,60.37,,3.0185,,
2021/1/2,18,2021/1/2 16:30,N,2538.507,1031.789,31.199,67.71,,3.3855,,
2021/1/2,19,2021/1/2 17:00,N,2536.268,1081.406,37.999,68.98,,3.449,,
2021/1/2,20,2021/1/2 17:30,N,2534.048,1142.04,66.595,73.09,,3.6545,,
2021/1/2,21,2021/1/2 18:00,N,2531.483,1179.01,49.091,71.43,,3.5715,,
2021/1/2,22,2021/1/2 18:30,N,2529.819,1194.103,79.591,73.63,,3.6815,,
2021/1/2,23,2021/1/2 19:00,N,2534.009,1219.724,91.891,72.43,,3.6215,,
2021/1/2,24,2021/1/2 19:30,N,2544.592,1254.042,75.691,72.43,,3.6215,,
2021/1/2,25,2021/1/2 20:00,N,2554.799,1242.403,75.469,69.23,,3.4615,,
2021/1/2,26,2021/1/2 20:30,N,2563.275,1176.137,74.669,69.91,,3.4955,,
2021/1/2,27,2021/1/2 21:00,N,2556.109,1130.808,63.722,69.35,,3.4675,,
2021/1/2,28,2021/1/2 21:30,N,2560.128,1078.564,94.091,67.23,,3.3615,,
2021/1/2,29,2021/1/2 22:00,N,2568.093,988.855,103.191,59.54,,2.977,,
2021/1/2,30,2021/1/2 22:30,N,2575.195,914.512,86.598,46.3,,2.315,,
2021/1/2,31,2021/1/2 23:00,N,2584.847,870.37,94.099,40.77,,2.0385,,
2021/1/2,32,2021/1/2 23:30,N,2593.467,833.188,128.302,44.98,,2.249,,
2021/1/2,33,2021/1/3 0:00,N,2598.983,798.68,101.344,34.4,,1.72,,
2021/1/2,34,2021/1/3 0:30,N,2603.222,762.005,98.618,29.15,,1.4575,,
2021/1/2,35,2021/1/3 1:00,N,2607.28,734.883,100.618,27.59,,1.3795,,
2021/1/2,36,2021/1/3 1:30,N,2611.074,737.871,100.518,27.24,,1.362,,
2021/1/2,37,2021/1/3 2:00,N,2611.695,722.465,100.718,26.77,,1.3385,,
2021/1/2,38,2021/1/3 2:30,N,2612.568,685.485,78.718,26.45,,1.3225,,
2021/1/2,39,2021/1/3 3:00,N,2613.436,677.476,78.418,23.2,,1.16,,
2021/1/2,40,2021/1/3 3:30,N,2605.576,694.99,79.58,26.46,,1.323,,
2021/1/2,41,2021/1/3 4:00,N,2602.912,686.633,79.318,26.45,,1.3225,,
2021/1/2,42,2021/1/3 4:30,N,2601.787,660.566,99.69,20.21,,1.0105,,
2021/1/2,43,2021/1/3 5:00,N,2599.898,641.353,80.547,20.21,,1.0105,,
2021/1/2,44,2021/1/3 5:30,N,2589.486,628.476,78.772,10.23,,0.5115,,
2021/1/2,45,2021/1/3 6:00,N,2584.941,627.39,77.072,10,,0.5,,
2021/1/2,46,2021/1/3 6:30,N,2583.511,588.855,47.918,0,,0,,
2021/1/2,47,2021/1/3 7:00,N,2541.612,582.406,43.318,-39.47,,-1.9735,,
2021/1/2,48,2021/1/3 7:30,N,2494.154,569.833,53.081,-39.47,,-1.9735,,
2021/1/3,1,2021/1/3 8:00,N,2449.639,570.534,20.261,10.23,,0.5115,,
2021/1/3,2,2021/1/3 8:30,N,2466.5,515.421,18.297,10.23,,0.5115,,
2021/1/3,3,2021/1/3 9:00,N,2445.927,518.445,15.285,10.56,,0.528,,
2021/1/3,4,2021/1/3 9:30,N,2443.494,502.463,15.288,10.56,,0.528,,
2021/1/3,5,2021/1/3 10:00,N,2441.401,496.32,15.285,10.56,,0.528,,
2021/1/3,6,2021/1/3 10:30,N,2439.51,494.764,15.285,10.56,,0.528,,
2021/1/3,7,2021/1/3 11:00,N,2437.839,501.581,15.285,10.56,,0.528,,
2021/1/3,8,2021/1/3 11:30,N,2442.013,517.232,15.285,10.56,,0.528,,
2021/1/3,9,2021/1/3 12:00,N,2440.534,541.138,15.285,10.56,,0.528,,
2021/1/3,10,2021/1/3 12:30,N,2464.048,548.599,33.005,10.56,,0.528,,
2021/1/3,11,2021/1/3 13:00,N,2502.68,550.355,32.368,10.56,,0.528,,
2021/1/3,12,2021/1/3 13:30,N,2516.665,577.307,32.618,11.01,,0.5505,,
2021/1/3,13,2021/1/3 14:00,N,2554.076,591.905,32.175,19.65,,0.9825,,
2021/1/3,14,2021/1/3 14:30,N,2517.442,702.21,21.57,29.15,,1.4575,,
2021/1/3,15,2021/1/3 15:00,N,2535.475,765.497,47.54,36.71,,1.8355,,
2021/1/3,16,2021/1/3 15:30,N,2560.13,806.956,42.141,45.15,,2.2575,,
2021/1/3,17,2021/1/3 16:00,N,2559.913,866.388,44.33,40.3,,2.015,,
2021/1/3,18,2021/1/3 16:30,N,2563.478,945.229,66.437,58.41,,2.9205,,
2021/1/3,19,2021/1/3 17:00,N,2565.672,994.166,73.637,60.82,,3.041,,
2021/1/3,20,2021/1/3 17:30,N,2566.841,1027.471,82.033,71.05,,3.5525,,
2021/1/3,21,2021/1/3 18:00,N,2565.557,1076.946,90.729,73.52,,3.676,,
2021/1/3,22,2021/1/3 18:30,N,2556.934,1127.692,115.929,74.59,,3.7295,,
2021/1/3,23,2021/1/3 19:00,N,2554.629,1162.881,99.429,74.1,,3.705,,
2021/1/3,24,2021/1/3 19:30,N,2559.104,1198.814,100.129,71.99,,3.5995,,
2021/1/3,25,2021/1/3 20:00,N,2564.513,1194.567,101.807,70.13,,3.5065,,
2021/1/3,26,2021/1/3 20:30,N,2574.107,1144.575,98.407,68.58,,3.429,,
2021/1/3,27,2021/1/3 21:00,N,2565.66,1096.144,85.86,68.88,,3.444,,
2021/1/3,28,2021/1/3 21:30,N,2566.53,1018.526,107.229,65.45,,3.2725,,
2021/1/3,29,2021/1/3 22:00,N,2573.418,947.966,93.232,50.43,,2.5215,,
2021/1/3,30,2021/1/3 22:30,N,2578.701,909.458,82.233,39.3,,1.965,,
2021/1/3,31,2021/1/3 23:00,N,2587.701,864.91,66.837,37.91,,1.8955,,
2021/1/3,32,2021/1/3 23:30,N,2595.928,810.707,76.341,36.94,,1.847,,
2021/1/3,33,2021/1/4 0:00,N,2600.726,792.408,92.841,30.8,,1.54,,
2021/1/3,34,2021/1/4 0:30,N,2605.685,767.745,79.403,28.64,,1.432,,
2021/1/3,35,2021/1/4 1:00,N,2610.331,733.944,74.118,27.51,,1.3755,,
2021/1/3,36,2021/1/4 1:30,N,2606.588,728.729,73.818,27.24,,1.362,,
