Trading Interval,EOI quntity (MW),
2021/1/1 8:00,1541.132,0.252482882
2021/1/1 8:30,1511.693,0.243075125
2021/1/1 9:00,1508.592,0.242084145
2021/1/1 9:30,1510.014,0.24253857
2021/1/1 10:00,1542.843,0.253029663
2021/1/1 10:30,1602.857,0.272208207
2021/1/1 11:00,1651.36,0.287708206
2021/1/1 11:30,1741.998,0.316673197
2021/1/1 12:00,1840.19,0.348052202
2021/1/1 12:30,1984.892,0.394294308
2021/1/1 13:00,2181.54,0.457136685
2021/1/1 13:30,2182.444,0.457425574
2021/1/1 14:00,2267.153,0.484495847
2021/1/1 14:30,2323.461,0.502490073
2021/1/1 15:00,2415.903,0.532031563
2021/1/1 15:30,2580.242,0.584549023
2021/1/1 16:00,2718.568,0.628753564
2021/1/1 16:30,2851.744,0.671312331
2021/1/1 17:00,2970.603,0.709295845
2021/1/1 17:30,3068.926,0.740716714
2021/1/1 18:00,3094.016,0.748734671
2021/1/1 18:30,3066.146,0.739828315
2021/1/1 19:00,2995.808,0.717350553
2021/1/1 19:30,2953.925,0.703966093
2021/1/1 20:00,2847.566,0.669977176
2021/1/1 20:30,2720.863,0.629486972
2021/1/1 21:00,2609.095,0.593769514
2021/1/1 21:30,2509.727,0.562014696
2021/1/1 22:00,2387.002,0.522795733
2021/1/1 22:30,2315.444,0.499928097
2021/1/1 23:00,2221.797,0.470001528
2021/1/1 23:30,2136.509,0.442746225
2021/1/2 0:00,2060.383,0.418418804
2021/1/2 0:30,2020.248,0.405592949
2021/1/2 1:00,1994.962,0.397512356
2021/1/2 1:30,1960.882,0.386621484
2021/1/2 2:00,1931.985,0.377386932
2021/1/2 2:30,1916.167,0.372332008
2021/1/2 3:00,1905.59,0.368951939
2021/1/2 3:30,1886.82,0.362953651
2021/1/2 4:00,1887.45,0.363154978
2021/1/2 4:30,1890.952,0.364274105
2021/1/2 5:00,1867.874,0.356899118
2021/1/2 5:30,1828.589,0.344344896
2021/1/2 6:00,1807.494,0.337603612
2021/1/2 6:30,1743.279,0.317082563
2021/1/2 7:00,1676.1,0.295614315
2021/1/2 7:30,1595.3,0.269793233
2021/1/2 8:00,1554.572,0.256777874
2021/1/2 8:30,1482.876,0.233866138
2021/1/2 9:00,1447.268,0.222486966
2021/1/2 9:30,1396.641,0.206308205
2021/1/2 10:00,1362.736,0.195473258
2021/1/2 10:30,1372.503,0.198594477
2021/1/2 11:00,1357.617,0.19383739
2021/1/2 11:30,1370.972,0.198105218
2021/1/2 12:00,1472.613,0.230586413
2021/1/2 12:30,1514.981,0.244125864
2021/1/2 13:00,1537.971,0.251472728
2021/1/2 13:30,1658.747,0.290068854
2021/1/2 14:00,1754.091,0.32053773
2021/1/2 14:30,1899.903,0.367134557
2021/1/2 15:00,2057.354,0.417450833
2021/1/2 15:30,2222.521,0.470232895
2021/1/2 16:00,2408.947,0.529808649
2021/1/2 16:30,2555.003,0.57648345
2021/1/2 17:00,2656.334,0.608865579
2021/1/2 17:30,2706.126,0.624777501
2021/1/2 18:00,2743.532,0.636731256
2021/1/2 18:30,2671.513,0.613716299
2021/1/2 19:00,2630.79,0.600702538
2021/1/2 19:30,2628.603,0.600003643
2021/1/2 20:00,2568.382,0.580758948
2021/1/2 20:30,2499.144,0.55863271
2021/1/2 21:00,2420.073,0.533364161
2021/1/2 21:30,2359.334,0.51395393
2021/1/2 22:00,2246.01,0.477739224
2021/1/2 22:30,2168.442,0.452950985
2021/1/2 23:00,2079.662,0.424579752
2021/1/2 23:30,1994.098,0.397236249
2021/1/3 0:00,1947.237,0.382260981
2021/1/3 0:30,1892.07,0.364631382
2021/1/3 1:00,1866.703,0.356524904
2021/1/3 1:30,1845.067,0.349610734
2021/1/3 2:00,1806.652,0.337334536
2021/1/3 2:30,1799.253,0.334970053
2021/1/3 3:00,1779.104,0.328531081
2021/1/3 3:30,1779.738,0.328733687
2021/1/3 4:00,1777.874,0.328138012
2021/1/3 4:30,1770.643,0.325827217
2021/1/3 5:00,1726.367,0.311678032
2021/1/3 5:30,1688.77,0.299663239
2021/1/3 6:00,1653.161,0.288283748
2021/1/3 6:30,1606.988,0.273528342
2021/1/3 7:00,1533.151,0.249932411
2021/1/3 7:30,1452.999,0.22431841
2021/1/3 8:00,1369.332,0.197581127
2021/1/3 8:30,1312.815,0.179520111
2021/1/3 9:00,1247.162,0.158539524
2021/1/3 9:30,1238.08,0.155637209
2021/1/3 10:00,1221.226,0.150251212
2021/1/3 10:30,1242.383,0.157012309
2021/1/3 11:00,1268.163,0.165250768
2021/1/3 11:30,1248.758,0.159049554
2021/1/3 12:00,1323.589,0.182963135
2021/1/3 12:30,1386.329,0.203012822
2021/1/3 13:00,1388.63,0.203748147
2021/1/3 13:30,1503.788,0.240548941
2021/1/3 14:00,1545.59,0.253907516
2021/1/3 14:30,1692.376,0.300815601
2021/1/3 15:00,1842.15,0.348678555
2021/1/3 15:30,1959.493,0.386177604
2021/1/3 16:00,2094.185,0.429220836
2021/1/3 16:30,2235.225,0.474292685
2021/1/3 17:00,2356.246,0.512967104
2021/1/3 17:30,2481.178,0.552891354
2021/1/3 18:00,2521.017,0.565622617
2021/1/3 18:30,2497.937,0.558246991
2021/1/3 19:00,2462.68,0.546979988
2021/1/3 19:30,2491.041,0.556043252
2021/1/3 20:00,2441.522,0.540218572
2021/1/3 20:30,2352.46,0.51175722
2021/1/3 21:00,2276.93,0.487620261
2021/1/3 21:30,2182.333,0.457390102
2021/1/3 22:00,2124.083,0.438775275
2021/1/3 22:30,2042.029,0.412553456
2021/1/3 23:00,1974.048,0.390828914
2021/1/3 23:30,1917.719,0.372827977
2021/1/4 0:00,1850.307,0.35128527
2021/1/4 0:30,1811.27,0.3388103
2021/1/4 1:00,1798.016,0.334574748
2021/1/4 1:30,1790.943,0.332314445
2021/1/4 2:00,1754.426,0.320644786
2021/1/4 2:30,1731.101,0.313190866
2021/1/4 3:00,1733.242,0.31387506
2021/1/4 3:30,1729.724,0.312750821
2021/1/4 4:00,1751.922,0.319844588
2021/1/4 4:30,1756.679,0.321364772
2021/1/4 5:00,1731.293,0.313252223
2021/1/4 5:30,1718.57,0.309186361
2021/1/4 6:00,1750.387,0.319354051
2021/1/4 6:30,1726.289,0.311653105
2021/1/4 7:00,1670.006,0.293666868
2021/1/4 7:30,1581.316,0.265324397
2021/1/4 8:00,1555.148,0.256961945
2021/1/4 8:30,1484.921,0.234519654
2021/1/4 9:00,1421.859,0.214367067
2021/1/4 9:30,1369.998,0.197793959
2021/1/4 10:00,1365.82,0.196458805
2021/1/4 10:30,1389.388,0.20399038
2021/1/4 11:00,1421.043,0.2141063
2021/1/4 11:30,1471.917,0.230363994
2021/1/4 12:00,1541.503,0.252601442
2021/1/4 12:30,1583.161,0.265913999
2021/1/4 13:00,1659.067,0.290171116
2021/1/4 13:30,1749.29,0.319003485
2021/1/4 14:00,1843.819,0.349211914
2021/1/4 14:30,1983.463,0.393837645
2021/1/4 15:00,2166.381,0.452292356
2021/1/4 15:30,2287.03,0.490847897
2021/1/4 16:00,2440.018,0.539737942
2021/1/4 16:30,2604.656,0.592350952
2021/1/4 17:00,2736.381,0.634446026
2021/1/4 17:30,2816.517,0.660054915
2021/1/4 18:00,2826.474,0.663236852
2021/1/4 18:30,2802.761,0.655658939
2021/1/4 19:00,2729.152,0.63213587
2021/1/4 19:30,2693.668,0.620796325
2021/1/4 20:00,2605.332,0.59256698
2021/1/4 20:30,2517.968,0.564648255
2021/1/4 21:00,2458.732,0.545718334
2021/1/4 21:30,2354.59,0.5124379
2021/1/4 22:00,2246.191,0.477797065
2021/1/4 22:30,2146.322,0.445882145
2021/1/4 23:00,2065.627,0.420094618
2021/1/4 23:30,2001.244,0.399519881
2021/1/5 0:00,1928.387,0.376237127
2021/1/5 0:30,1889.76,0.36389318
2021/1/5 1:00,1856.489,0.353260838
2021/1/5 1:30,1822.079,0.342264509
2021/1/5 2:00,1800.804,0.335465703
2021/1/5 2:30,1783.354,0.329889244
2021/1/5 3:00,1773.866,0.326857184
2021/1/5 3:30,1766.057,0.324361679
2021/1/5 4:00,1774.381,0.327021762
2021/1/5 4:30,1800.886,0.335491908
2021/1/5 5:00,1793.818,0.333233202
2021/1/5 5:30,1812.747,0.339282302
2021/1/5 6:00,1870.728,0.357811165
2021/1/5 6:30,1873.193,0.3585989
2021/1/5 7:00,1818.228,0.341033853
2021/1/5 7:30,1780.268,0.328903058
2021/1/5 8:00,1727.64,0.312084841
2021/1/5 8:30,1702.165,0.303943851
2021/1/5 9:00,1652.714,0.288140901
2021/1/5 9:30,1614.472,0.275919988
2021/1/5 10:00,1623.589,0.278833488
2021/1/5 10:30,1620.239,0.277762936
2021/1/5 11:00,1632.944,0.281823045
2021/1/5 11:30,1680.8,0.297116284
2021/1/5 12:00,1733.581,0.313983394
2021/1/5 12:30,1820.795,0.341854184
2021/1/5 13:00,1879.489,0.360610899
2021/1/5 13:30,1983.804,0.393946618
2021/1/5 14:00,2089.402,0.427692343
2021/1/5 14:30,2212.279,0.466959881
2021/1/5 15:00,2370.027,0.517371069
2021/1/5 15:30,2529.487,0.568329357
2021/1/5 16:00,2691.078,0.619968644
2021/1/5 16:30,2888.736,0.683133785
2021/1/5 17:00,2992.428,0.716270413
2021/1/5 17:30,3065.646,0.739668531
2021/1/5 18:00,3070.752,0.741300245
2021/1/5 18:30,3052.71,0.735534602
2021/1/5 19:00,2967.781,0.708394025
2021/1/5 19:30,2921.3,0.693540192
2021/1/5 20:00,2837.469,0.6667505
2021/1/5 20:30,2704.054,0.624115356
2021/1/5 21:00,2583.8,0.585686045
2021/1/5 21:30,2455.285,0.544616784
2021/1/5 22:00,2405.899,0.528834606
2021/1/5 22:30,2301.862,0.495587727
2021/1/5 23:00,2208.889,0.465876546
2021/1/5 23:30,2137.059,0.442921988
2021/1/6 0:00,2077.945,0.424031054
2021/1/6 0:30,2014.162,0.403648059
2021/1/6 1:00,1947.095,0.382215602
2021/1/6 1:30,1910.827,0.370625516
2021/1/6 2:00,1888.009,0.363333617
2021/1/6 2:30,1847.992,0.35054547
2021/1/6 3:00,1824.32,0.34298066
2021/1/6 3:30,1818.76,0.341203863
2021/1/6 4:00,1855.059,0.352803856
2021/1/6 4:30,1863.199,0.355405139
2021/1/6 5:00,1850.131,0.351229026
2021/1/6 5:30,1860.235,0.354457939
2021/1/6 6:00,1898.784,0.36677696
2021/1/6 6:30,1899.9,0.367133598
2021/1/6 7:00,1895.132,0.365609898
2021/1/6 7:30,1815.088,0.34003041
2021/1/6 8:00,1781.114,0.329173412
2021/1/6 8:30,1745.657,0.317842495
2021/1/6 9:00,1711.954,0.3070721
2021/1/6 9:30,1722.518,0.310448015
2021/1/6 10:00,1722.418,0.310416058
2021/1/6 10:30,1756.287,0.321239501
2021/1/6 11:00,1825.411,0.343329309
2021/1/6 11:30,1864.725,0.355892799
2021/1/6 12:00,1980.784,0.392981523
2021/1/6 12:30,2070.292,0.421585402
2021/1/6 13:00,2181.739,0.457200279
2021/1/6 13:30,2277.189,0.487703029
2021/1/6 14:00,2402.569,0.527770445
2021/1/6 14:30,2544.872,0.573245908
2021/1/6 15:00,2718.305,0.628669518
2021/1/6 15:30,2844.756,0.669079191
2021/1/6 16:00,3005.479,0.720441093
2021/1/6 16:30,3143.106,0.764422256
2021/1/6 17:00,3265.191,0.803436696
2021/1/6 17:30,3338.246,0.826782725
2021/1/6 18:00,3347.708,0.829806476
2021/1/6 18:30,3307.966,0.817106211
2021/1/6 19:00,3193.894,0.780652468
2021/1/6 19:30,3139.168,0.763163798
2021/1/6 20:00,3011.939,0.722505501
2021/1/6 20:30,2895.055,0.685153134
2021/1/6 21:00,2731.593,0.632915935
2021/1/6 21:30,2588.623,0.587227321
2021/1/6 22:00,2446.895,0.54193561
2021/1/6 22:30,2353.529,0.512098838
2021/1/6 23:00,2267.869,0.484724657
2021/1/6 23:30,2175.947,0.455349342
2021/1/7 0:00,2142.314,0.444601317
2021/1/7 0:30,2097.363,0.430236423
2021/1/7 1:00,2064.937,0.419874116
2021/1/7 1:30,2034.289,0.410080001
2021/1/7 2:00,2022.822,0.406415516
2021/1/7 2:30,2011.154,0.402686799
2021/1/7 3:00,1992.096,0.396596475
2021/1/7 3:30,1970.197,0.389598258
2021/1/7 4:00,1987.956,0.395273464
2021/1/7 4:30,1997.808,0.398421846
2021/1/7 5:00,2004.472,0.400551446
2021/1/7 5:30,2014.794,0.403850026
2021/1/7 6:00,2073.683,0.422669056
2021/1/7 6:30,2078.147,0.424095607
2021/1/7 7:00,2077.814,0.423989191
2021/1/7 7:30,2058.234,0.417732053
2021/1/7 8:00,2072.16,0.422182354
2021/1/7 8:30,2090.757,0.428125358
2021/1/7 9:00,2098.413,0.430571969
2021/1/7 9:30,2166.519,0.452336456
2021/1/7 10:00,2204.957,0.464620005
2021/1/7 10:30,2235.078,0.474245708
2021/1/7 11:00,2235.953,0.47452533
2021/1/7 11:30,2335.314,0.50627791
2021/1/7 12:00,2428.431,0.536035109
2021/1/7 12:30,2561.889,0.578683994
